id;title;year;total value;property value;tickets value;advertising value;touringvalue;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";2024;507 627 561;27 784 958;435 267 440;3 021 600;16 820 000;1;0,054734928;0,857454309;0,005952395;0,033134529;1;0,04656;0,79098;0,006682;0,033838
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";2024;700 254 375;11 374 767;456 518 377;0;0;1;0,016243765;0,651932202;0;0;1;0,04656;0,79098;0,006682;0,033838
7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";2024;689 741 065;28 647 473;620 371 010;0;17 688 000;1;0,041533663;0,899425947;0;0,025644406;1;0,04656;0,79098;0,006682;0,033838
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";2024;115 701 871;0;115 793 133;0;0;1;0;1,000788776;0;0;1;0,04656;0,79098;0,006682;0,033838
7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";2024;5 250 857;35 000;5 197 857;0;0;1;0,006665579;0,989906409;0;0;1;0,04656;0,79098;0,006682;0,033838
7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";2024;201 964 472;16 612 359;128 143 118;0;14 661 400;1;0,082253866;0,634483464;0;0,072593956;1;0,04656;0,79098;0,006682;0,033838
7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";2024;48 260 139;933 495;45 514 669;0;0;1;0,019342982;0,943111026;0;0;1;0,04656;0,79098;0,006682;0,033838
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";2024;102 052 031;709 600;94 424 213;0;0;1;0,006953321;0,925255595;0;0;1;0,04656;0,79098;0,006682;0,033838
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";2024;323 190 562;40 295 611;283 627 690;92 160;1 700 000;1;0,124680654;0,87758655;0,000285157;0,005260055;1;0,04656;0,79098;0,006682;0,033838
7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";2024;28 608 433;0;26 375 576;0;0;1;0;0,92195109;0;0;1;0,04656;0,79098;0,006682;0,033838
7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";2024;257 977 432;121 789 408;2 548 513;0;0;1;0,472093265;0,009878822;0;0;1;0,04656;0,79098;0,006682;0,033838
7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";2024;82 675 547;0;76 102 694;0;0;1;0;0,920498214;0;0;1;0,04656;0,79098;0,006682;0,033838
7704198381;"ГБУК г. Москвы ""МТКМО ""Градский Холл""";2024;70 066 611;29 690 784;43 092 518;0;0;1;0,423750823;0,615022157;0;0;1;0,04656;0,79098;0,006682;0,033838
7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";2024;59 342 514;3 438 551;56 001 659;0;0;1;0,057944139;0,94370217;0;0;1;0,04656;0,79098;0,006682;0,033838
7710130279;"ГБУК г. Москвы ""МТЮЗ""";2024;262 300 744;0;243 459 137;0;14 985 803;1;0;0,928167925;0;0,057132139;1;0,04656;0,79098;0,006682;0,033838
