year;id;title;total value;property value;tickets value;advertising value;touring value;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare;
2025;7735026248;"ГБУК г.Москвы ""Ведогонь-театр""";31 784 748,88 ;0,00 ;28 256 515,22 ;0,00 ;0,00 ;0,079065982;0;0,070289343;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701258410;"ГБУК г.Москвы ""Московский музыкальный театр ""На Басманной""";6 090 757,00 ;500 000,00 ;5 590 757,00 ;0,00 ;0,00 ;0,01515103;0,001243772;0,013907258;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703002886;"ГБУК г.Москвы ""Московский театр ""Мастерская П.Н. Фоменко""";435 140 777,49 ;1 293 640,00 ;315 153 280,00 ;0,00 ;6 446 900,00 ;1,082432107;0,003217987;0,783957851;0;0,016036952;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7708107804;"ГБУК г.Москвы ""МТДК ""Волшебная лампа""";3 356 790,26 ;0,00 ;3 340 100,00 ;0,00 ;0,00 ;0,008350166;0;0,008308648;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710040730;"ГБУК г.Москвы ""Театр им. Моссовета""";303 988 593,53 ;8 952 458,46 ;277 729 767,84 ;0,00 ;9 423 496,00 ;0,756185195;0,02226964;0,690865194;0;0,023441367;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7702078561;"ГБУК г.Москвы ""Театр Музыки и Поэзии п/р Е.Камбуровой""";22 678 500,00 ;955 000,00 ;22 041 000,00 ;0,00 ;0,00 ;0,056413781;0,002375605;0,054827971;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7704249283;"ГБУК МТ ""Новая Опера"" им. Е.В.Колобова";182 225 135,87 ;3 509 588,50 ;112 807 112,00 ;0,00 ;5 444 720,00 ;0,453293159;0,008730258;0,280612726;0;0,013543984;1;0,053348558;0,819731678;0,004586716;0,026350679;
2024;7701046341;"""Московский театр ""Современник""";672 024 611,14 ;15 264 460,29 ;637 779 960,28 ;229 759,02 ;13 125 000,00 ;1,671691216;0,037971026;1,586506119;0,000571536;0,032649023;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7701109200;"ГАУК г. Москвы ""МОТК""";11 285 497,69 ;0,00 ;11 040 302,79 ;0,00 ;0,00 ;0,028073179;0;0,027463246;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7707086767;"ГБУК ""МГАТО""";1 204 714 216,72 ;1 219 778,69 ;1 194 083 542,20 ;0,00 ;0,00 ;2,996780387;0,003034254;2,97033611;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";393 132 613,75 ;41 703 480,44 ;303 428 578,78 ;563 280,00 ;16 200 000,00 ;0,977934924;0,103739269;0,754792133;0,001401184;0,040298223;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703014835;"ГБУК ""Московский театр ""На досках""";5 289 149,94 ;0,00 ;3 234 200,00 ;0,00 ;0,00 ;0,013156997;0;0,008045217;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7701020760;"ГБУК ""МТК ""Жар-птица""";2 941 187,19 ;0,00 ;1 701 149,00 ;0,00 ;0,00 ;0,007316334;0;0,004231684;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";55 201 375,79 ;6 836 578,67 ;21 290 699,35 ;0,00 ;0,00 ;0,137315886;0,017006295;0,052961565;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7707120908;"ГБУК г. Москвы ""ДМТЮА""";122 590 784,00 ;0,00 ;111 620 692,00 ;0,00 ;177 100,00 ;0,304950047;0;0,277661454;0;0,000440544;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7710081367;"ГБУК г. Москвы ""МАМТ""";909 456 802,40 ;39 693 169,61 ;787 892 630,58 ;0,00 ;4 583 978,04 ;2,26231439;0,098738531;1,959918086;0;0,01140285;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";311 070 989,78 ;0,00 ;22 473 042,20 ;0,00 ;204 066 613,96 ;0,773802972;0;0,055902696;0;0,507624811;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";360 448 299,59 ;36 015 624,75 ;183 485 199,45 ;1 053 900,00 ;29 278 294,72 ;0,896631234;0,089590474;0,456427624;0,002621623;0,072831065;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7716149741;"ГБУК г. Москвы ""МГИЭТ""";16 868 789,21 ;444 720,00 ;16 172 325,29 ;0,00 ;0,00 ;0,041961866;0,001106261;0,040229381;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7709264045;"ГБУК г. Москвы ""МД ""Сказочный театр""";13 420 159,42 ;121 652,14 ;13 315 163,30 ;0,00 ;0,00 ;0,033383246;0,000302615;0,033122063;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";233 238 349,28 ;3 050 567,57 ;229 246 212,25 ;0,00 ;0,00 ;0,580190805;0,007588423;0,570260185;0;0;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";542 447 720,46 ;13 190 812,90 ;496 961 067,87 ;4 500 000,00 ;11 838 300,00 ;1,349362917;0,032812736;1,236212838;0,011193951;0,0294483;1;0,046560353;0,790980203;0,00668197;0,033837788;
2024;7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";299 371 445,29 ;47 553 917,56 ;21 267 109,51 ;0,00 ;500 000,00 ;0,744699833;0,118292493;0,052902884;0;0,001243772;1;0,046560353;0,790980203;0,00668197;0,033837788;
